plugin_id,plugin_name,plugin_version,count
amdbbknpahfhdafplabjenapaacedach,ChemDraw Web Clipboard - Chrome Web Store,2.0.0.52,15
aomjjhallfgjeglblehebfpbcfeobpgk,Extensión de 1Password (app necesaria) - Chrome Web Store,4.7.5.90,5
bbjllphbppobebmjpjcijfbakobcheof,IBM Security Rapport - Chrome Web Store,2.2.107,1
cfhdojbkjhnklbpkdaibdccddilifddb,Adblock Plus - free ad blocker - Chrome Web Store,3.7,2
chlffgpmiacpedhhbkiomidkjlcfhogd,Pushbullet - Chrome Web Store,354,2
ckjefchnfjhjfedoccjbhjpbncimppeg,Token signing - Chrome Web Store,0.0.30,11
dajhhgiioackgdldomhppobgjbinhimh,HttpWatch - Chrome Web Store,12.1.3,8
dcngeagmmhegagicpcmpinaoklddcgon,Web PKI - Chrome Web Store,2.15.0,1
ddaloccgjfibfpkalenodgehlhkgoahe,Dragon Web Extension - Chrome Web Store,15.2.0.17,6
ebkbgkjhepceaoccefbchcencgmggpci,Nuance PDF Create - Chrome Web Store,1.0.0.4,2
efaidnbmnnnibpcajpcglclefindmkaj,Adobe Acrobat - Chrome Web Store,15.1.1.4,254
fdjamakpfbbddfjaooikfcpapjohcfmg,Dashlane - Password Manager - Chrome Web Store,6.2004.5,1
fkepacicchenbjecpbpbclokcabebhah,iCloud Bookmarks - Chrome Web Store,2.1.2,4
fpckohnjiaonmklkjnlplokplhhijalm,Private Browsing by Safely - Chrome Web Store,3.0.0,1
gighmmpiobklfepjocnamgkkbiglidom,AdBlock — best ad blocker - Chrome Web Store,4.5.0,2
gjalhnomhafafofonpdihihjnbafkipc,Szafir SDK Web - Chrome Web Store,0.0.10,1
hddjhjcbioambdhjejhdlobijkdnbggp,McAfee DLP Endpoint Chrome Extension - Chrome Web Store,11.0.300.0,20618
hehijbfgiekmjfkfjpbkbammjbdenadd,IE Tab - Chrome Web Store,13.1.7.1,87
hpoiplhbnkgnpjkkilfahkkcimachkkj,HPE Functional Testing Agent - Chrome Web Store,14.3.3896.4,3
ilikenhndcpmliapkmmhoimckaokmihm,WordWeb Dictionary Lookup - Chrome Web Store,0.0.1.6,1
jjkchpdmjjdmalgembblgafllbpcjlei,Control web de McAfee Endpoint Security - Chrome Web Store,10.6.0.001,22027
jlhmfgmfgeifomenelglieieghnjghma,Cisco Webex Extension - Chrome Web Store,1.5.0,7652
kapenncbbdmooanjhhaokalmincfphkf,OpenText Documentum Client Manager - Chrome Web Store,0.0.1.4,517
kgpdpdnaoephdehalonapacdgjhamnbc,HP Functional Testing Agent - Chrome Web Store,12.54.4731.5,4
knipolnnllmklapflnccelgolnpehhpl,Google Hangouts - Chrome Web Store,2019.411.420.3,5
kpoecbkildamnnchnlgoboipnblgikpn,IBM Aspera Connect - Chrome Web Store,3.9.7.4,5
lmjegmlicamnimmfhcmpkclmigmmcbeh,Application Launcher for Drive (by Google) - Chrome Web Store,3.2,1
mcbpblocgmgfnpjjppndjkmgjaogfceg,Take Webpage Screenshots Entirely - FireShot - Chrome Web Store,0.98.97.2,1
nckgahadagoaajjgafhacjanaoiihapd,Google Hangouts - Chrome Web Store,2019.411.420.3,5
ncopbgfhmondhmdfjcgecnhoekbghpfc,Browsium Client Extension - Chrome Web Store,4.3.12,20151
ndjpnladcallmjemlbaebfadecfhkepb,Office - Chrome Web Store,2.1.4,28
nfhhihlhepgakhgnijobelmpacmhgnid,Browsium Catalyst Client Extension - Chrome Web Store,3.1.2.4,1
ngpampappnmepgilojfohadhhmbhlaek,IDM Integration Module - Chrome Web Store,6.36.5,1
oeopbcgkkoapgobdbedcemjljbihmemj,Checker Plus for Gmail™ - Chrome Web Store,22.0,3
ohfgljdgelakfkefopgklcohadegdpjf,"Smallpdf - Edit, Compress and Convert PDF - Chrome Web Store",0.17.0,1
ohgndokldibnndfnjnagojmheejlengn,Citavi Picker - Chrome Web Store,2017.11.8.21,1
olljnkilmblncgcghhaodkpdcnokhpah,¿Quién te ha borrado ? - Chrome Web Store,3.3.2,1
ophjlpahpchlmihnnnihgmmeilfjmjjc,LINE - Chrome Web Store,2.3.4,1
pkpoicdhlhooickgibfkpebpfpfkhgln,Softomotive Automation - Chrome Web Store,1.0.0.15,10
ppnbnpeolgkicgegkbkbjmhlideopiji,Windows 10 Accounts - Chrome Web Store,1.0.2,8
